(15.0,2.0,0.0),(15.0,1.0,0.0),(16.0,2.0,0.0);(0,60:1),(1,62:2);8.40494180935
(0.0,2.0,0.0),(1.0,2.0,0.0),(0.0,3.0,0.0);(0,33:2);4.1368589636
(0.0,3.0,0.0),(1.0,2.0,0.0),(1.0,3.0,0.0);(0,64:1);5.21901786756
(1.0,2.0,0.0),(2.0,2.0,0.0),(1.0,3.0,0.0);(0,35:2),(2,65:1);5.7371230057
(1.0,3.0,0.0),(2.0,2.0,0.0),(2.0,3.0,0.0);(0,66:1);5.35186445781
(2.0,2.0,0.0),(3.0,2.0,0.0),(2.0,3.0,0.0);(0,37:2),(2,67:1);4.98774828307
(2.0,3.0,0.0),(3.0,2.0,0.0),(3.0,3.0,0.0);(0,68:1);4.60751424696
(3.0,2.0,0.0),(4.0,2.0,0.0),(3.0,3.0,0.0);(0,39:2),(2,69:1);4.52897019784
(3.0,3.0,0.0),(4.0,2.0,0.0),(4.0,3.0,0.0);(0,70:1);4.72090412984
(4.0,2.0,0.0),(5.0,2.0,0.0),(4.0,3.0,0.0);(0,41:2),(2,71:1);4.63537637188
(4.0,3.0,0.0),(5.0,2.0,0.0),(5.0,3.0,0.0);(0,72:1);5.52065051238
(5.0,2.0,0.0),(6.0,2.0,0.0),(5.0,3.0,0.0);(0,43:2),(2,73:1);4.76393977812
(5.0,3.0,0.0),(6.0,2.0,0.0),(6.0,3.0,0.0);(0,74:1);5.13479727563
(6.0,2.0,0.0),(7.0,2.0,0.0),(6.0,3.0,0.0);(0,45:2),(2,75:1);4.94374961215
(6.0,3.0,0.0),(7.0,2.0,0.0),(7.0,3.0,0.0);(0,76:1);5.95936033926
(7.0,2.0,0.0),(8.0,2.0,0.0),(7.0,3.0,0.0);(0,47:2),(2,77:1);4.51237115967
(7.0,3.0,0.0),(8.0,2.0,0.0),(8.0,3.0,0.0);(0,78:1);3.86863032741
(8.0,2.0,0.0),(9.0,2.0,0.0),(8.0,3.0,0.0);(0,49:2),(2,79:1);1.96505624527
(8.0,3.0,0.0),(9.0,2.0,0.0),(9.0,3.0,0.0);(0,80:1);1.96505624527
(9.0,2.0,0.0),(10.0,2.0,0.0),(9.0,3.0,0.0);(0,51:2),(2,81:1);1.0
(9.0,3.0,0.0),(10.0,2.0,0.0),(10.0,3.0,0.0);(0,82:1);1.0
(10.0,2.0,0.0),(11.0,2.0,0.0),(10.0,3.0,0.0);(0,53:2),(2,83:1);1.0
(10.0,3.0,0.0),(11.0,2.0,0.0),(11.0,3.0,0.0);(0,84:1);1.0
(11.0,2.0,0.0),(12.0,2.0,0.0),(11.0,3.0,0.0);(0,55:2),(2,85:1);2.60215696426
(11.0,3.0,0.0),(12.0,2.0,0.0),(12.0,3.0,0.0);(0,86:1);2.60215696426
(12.0,2.0,0.0),(13.0,2.0,0.0),(12.0,3.0,0.0);(0,57:2),(2,87:1);3.76212784647
